id,parameter_1,parameter_2,exact_result,status
REG-UPE-01,25/72,56/75,719/1800,positive
REG-UPE-02,6/47,67/94,x_H equality,singleton Nash
REG-CS-01,99/100,501/1000,17993/4500000,positive
REG-CS-02,1/10,7/10,Eq15=221/720; Eq16=-221/720,source sign inversion
REG-PROFIT-01,1/2,51/100,-227/4500,weak no-switch B-profit gap
REG-PROFIT-02,9/10,19/20,41/900,strong B-profit counterexample
REG-HBP-02,1/2,1,"unused q_A,p_B invariant",endpoint price indeterminacy
REG-W-01,x_bar=(3-s)/4,,-(1+s)(1+9s)/144,negative
REG-OVERLAP-01,,,11s^2+66s-9=0,s_c=-3+6sqrt(33)/11
